"U0028","Vehicle Communication Bus A"
"P0163","O2 Sensor Circuit Low Voltage"
"P0074","Ambient Air Temperature Sensor Circuit Intermittent"
"U0233","Lost Communication With Side Obstacle Detection Control Module Right"
"P0510","Closed Throttle Position Switch"
"P2763","Torque Converter Clutch Pressure Control Solenoid Control Circuit High"
"U0091","Reserved by J2012"
"P2168","Throttle/Pedal Position Sensor 'F' Maximum Stop Performance"
"U0228","Lost Communication With 'Door Window Motor G'"
"P0AE7","Hybrid Battery Precharge Contractor Control Circuit High"
"P2746","Intermediate Shaft Speed Sensor 'B' Circuit Range/Performance"
"P0760","Shift Solenoid 'C'"
"P0968","Pressure Control Solenoid 'C' Control Circuit/Open"
"U0121","Lost Communication With Anti-Lock Brake System (ABS) Control Module"
"P2546","Torque Management Request Input Signal 'A' Low"
"P0298","Engine Oil Over Temperature"
"P3023","Battery Block 13 Becomes Weak"
"P0560","System Voltage"
"P3041","Battery Block 31 Becomes Weak"
"U0011","Medium Speed CAN Communication Bus (Performance)"
"P0022","A' Camshaft Position - Timing Over-Retarded"
"P0A1A","Generator Control Module"
"P3439","Cylinder 5 Exhaust Valve Control Circuit Low"
"P2791","Gate Select Direction Circuit Low"
"P0652","Sensor Reference Voltage 'B' Circuit Low"
"P3030","Battery Block 20 Becomes Weak"
"P0148","Fuel Delivery Error"
"P0603","Internal Control Module Keep Alive Memory (KAM) Error"
"P2416","O2 Sensor Signals Swapped Bank 1 Sensor 2 / Bank 1 Sensor 3"
"P0051","HO2S Heater Control Circuit Low"
"P2202","NOx Sensor Circuit Low Input"
"U0430","Invalid Data Received From Tire Pressure Monitor Module"
"P2324","Ignition Coil 'I' Primary Control Circuit Low"
"P0647","A/C Clutch Relay Control Circuit High"
"P0634","PCM/ECM/TCM Internal Temperature Too High"
"P0218","Transmission Fluid Over Temperature Condition"
"P0194","Fuel Rail Pressure Sensor Circuit Intermittent"
"U0061","Vehicle Communication Bus D (Low)"
"P4011","Battery Block 11 Overtemperature"
"P2608","Intake Air Heater 'B' Circuit High"
"P0737","TCM Engine Speed Output Circuit"
"P0848","Transmission Fluid Pressure Sensor/Switch 'B' Circuit High"
"U0075","Reserved by J2012"
"P2179","System Too Lean Off Idle"
"P2257","Secondary Air Injection System Control 'A' Circuit Low"
"P2711","Unexpected Mechanical Gear Disengagement"
"U0407","Invalid Data Received From Glow Plug Control Module"
"P0894","Transmission Component Slipping"
"P0681","Cylinder 11 Glow Plug Circuit"
"P2610","ECM/PCM Internal Engine Off Timer Performance"
"P0A39","Generator Temperature Sensor Circuit High"
"P2082","Exhaust Gas Temperature Sensor Circuit Range/Performance"
"P0268","Cylinder 3 Injector Circuit High"
"P2511","ECM/PCM Power Relay Sense Circuit Intermittent"
"P0161","O2 Sensor Heater Circuit"
"U0231","Lost Communication With Rain Sensing Module"
"U0033","Vehicle Communication Bus A (Open)"
"P0175","System Too Rich"
"P2761","Torque Converter Clutch Pressure Control Solenoid Control Circuit/Open"
"P2136","Throttle/Pedal Position Sensor/Switch 'A' / 'C' Voltage Correlation"
"P0AE0","Hybrid Battery Negative Contractor Control Circuit High"
"P2514","Event Data Recorder Request Circuit High"
"P0814","Transmission Range Display Circuit"
"P2660","B' Rocker Arm Actuator Control Circuit/Open"
"P2775","Upshift Switch Circuit Range/Performance"
"P0787","Shift/Timing Solenoid Low"
"P2561","A/C Control Module Requested MIL Illumination"
"P0016","Crankshaft Position - Camshaft Position Correlation"
"P0861","Gear Shift Module Communication Circuit Low"
"U0203","Lost Communication With 'Door Control Module E'"
"P0164","O2 Sensor Circuit High Voltage"
"P0446","Evaporative Emission System Vent Control Circuit"
"P2575","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit High"
"P0875","Transmission Fluid Pressure Sensor/Switch 'D' Circuit"
"U0234","Lost Communication With Convenience Recall Module"
"P0309","Cylinder 9 Misfire Detected"
"P2764","Torque Converter Clutch Pressure Control Solenoid Control Circuit Low"
"P3021","Battery Block 11 Becomes Weak"
"P4033","Battery Block 33 Overtemperature"
"P2643","Torque Management Feedback Signal 'B' Low"
"U0421","Invalid Data Received From Ride Level Control Module"
"P0133","O2 Sensor Circuit Slow Response"
"P0619","Alternative Fuel Control Module RAM/ROM Error"
"U0072","Vehicle Communication Bus E (shorted to Bus E)"
"P0066","Air Assisted Injector Control Circuit or Circuit Low"
"P0741","Torque Converter Clutch Circuit Performance or Stuck Off"
"P2733","Pressure Control Solenoid 'F' Stuck On"
"U0055","Vehicle Communication Bus D"
"P2A00","O2 Sensor Circuit Range/Performance"
"P0279","Cylinder 7 Injector Circuit Low"
"P2159","Vehicle Speed Sensor 'B' Range/Performance"
"U0083","Reserved by J2012"
"P0640","Intake Air Heater Control Circuit"
"P0523","Engine Oil Pressure Sensor/Switch High Voltage"
"P2138","Throttle/Pedal Position Sensor/Switch 'D' / 'E' Voltage Correlation"
"P0627","Fuel Pump 'A' Control Circuit /Open"
"P0491","Secondary Air Injection System Insufficient Flow"
"P2186","Engine Coolant Temperature Sensor 2 Circuit Intermittent/Erratic"
"P0541","Intake Air Heater 'A' Circuit Low"
"P3409","Cylinder 2 Deactivation/lntake Valve Control Circuit/Open"
"P0938","Hydraulic Oil Temperature Sensor Range/Performance"
"P0730","Incorrect Gear Ratio"
"P2197","O2 Sensor Signal Stuck Lean"
"U0115","Lost Communication With ECM/PCM B"
"P0986","Shift Solenoid 'E' Control Circuit High"
"P2528","Vacuum Reservoir Pressure Sensor Circuit High"
"P3000","HV Battery Malfunction"
"P0828","Up and Down Shift Switch Circuit High"
"P2250","O2 Sensor Reference Voltage Circuit High"
"P0669","PCM/ECM/TCM Internal Temperature Sensor Circuit High"
"P0997","Shift Solenoid 'F' Control Circuit Range/Performance"
"P0530","A/C Refrigerant Pressure Sensor 'A' Circuit"
"U0400","Invalid Data Received"
"P0604","Internal Control Module Random Access Memory (RAM) Error"
"P0155","O2 Sensor Heater Circuit"
"P0707","Transmission Range Sensor Circuit Low"
"P0411","Secondary Air Injection System Incorrect Flow Detected"
"P2772","Four Wheel Drive (4WD) Low Switch Circuit Range/Performance"
"P2755","Transmission Fluid Cooler Control Circuit High"
"U0165","Lost Communication With HVAC Control Module Rear"
"P2117","Throttle/Pedal Position Sensor 'F' Minimum Stop Performance"
"P2783","Torque Converter Temperature Too High"
"P2070","Intake Manifold Tuning (IMT) Valve Stuck Open"
"P2572","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit"
"P0917","Gear Shift Position Circuit High"
"P0A09","DC/DC Converter Status Circuit Low Input"
"P0883","TCM Power Input Signal High"
"U0031","Vehicle Communication Bus A (Low)"
"U0192","Lost Communication With Personal Computer"
"P0461","Fuel Level Sensor 'A' Circuit Range/Performance"
"P0475","Exhaust Pressure Control Valve"
"U0201","Lost Communication With 'Door Control Module C'"
"P2167","Throttle/Pedal Position Sensor 'E' Maximum Stop Performance"
"U0003","High Speed CAN Communication Bus (Open)"
"P2436","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Range/Performance"
"P2106","Throttle Actuator Control System - Forced Limited Power"
"P2623","Injector Control Pressure Regulator Circuit/Open"
"P0906","Gate Select Position Circuit Low"
"P4031","Battery Block 31 Overtemperature"
"U0112","Lost Communication With Battery Energy Control Module 'B'"
"P2641","Torque Management Feedback Signal 'B'"
"P0131","O2 Sensor Circuit Low Voltage"
"P0345","Camshaft Position Sensor 'A' Circuit"
"P2312","Ignition Coil 'E' Primary Control Circuit Low"
"P2731","Pressure Control Solenoid 'F'"
"P4003","Battery Block 3 Overtemperature"
"P0373","Timing Reference High Resolution Signal 'A' Intermittent/Erratic Pulses"
"P0079","Exhaust Valve Control Solenoid Circuit Low"
"P2630","O2 Sensor Pumping Current Trim Circuit Low"
"P0521","Engine Oil Pressure Sensor/Switch Range/Performance"
"U0178","Lost Communication With 'Restraints System Sensor I'"
"P2190","System Too Rich at Idle"
"P2703","Transmission Friction Element 'D' Apply Time Range/Performance"
"P0428","Catalyst Temperature Sensor High"
"P0724","Brake Switch 'B' Circuit High"
"P2552","Throttle/Fuel Inhibit Circuit"
"P0852","Park/Neutral Switch Input Circuit High"
"P2503","Charging System Voltage Low"
"P0288","Cylinder 10 Injector Circuit Low"
"P2547","Torque Management Request Input Signal 'A' High"
"U0099","Reserved by J2012"
"P0847","Transmission Fluid Pressure Sensor/Switch 'B' Circuit Low"
"P2534","Ignition Switch Run/Start Position Circuit Low"
"P0834","Clutch Pedal Switch 'B' Circuit Low"
"P3473","Cylinder 10 Deactivation/lntake Valve Control Circuit/Open"
"U0156","Lost Communication With Information Center 'A'"
"U0129","Lost Communication With Brake System Control Module"
"P0881","TCM Power Input Signal Range/Performance"
"P2329","Ignition Coil 'J' Secondary Circuit"
"P3049","Battery Block 39 Becomes Weak"
"P0184","Fuel Temperature Sensor A Circuit Intermittent"
"P0199","Engine Oil Temperature Sensor Intermittent"
"U0220","Lost Communication With 'Door Switch F'"
"P2784","Input/Turbine Speed Sensor 'A'/'B' Correlation"
"P2293","Fuel Pressure Regulator 2 Performance"
"U0040","Vehicle Communication Bus B (Low)"
"U0001","High Speed CAN Communication Bus"
"P0A9E","Hybrid Battery Temperature Sensor 'A' Circuit High"
"P0038","HO2S Heater Control Circuit High"
"P0086","Exhaust Valve Control Solenoid Circuit High"
"P4019","Battery Block 19 Overtemperature"
"P2143","Exhaust Gas Recirculation Vent Control Circuit/Open"
"P0097","Intake Air Temperature Sensor 2 Circuit Low"
"P3012","Battery Block 2 Becomes Weak"
"P0119","Engine Coolant Temperature Circuit Intermittent"
"P0208","Injector Circuit/Open - Cylinder 8"
"P2213","NOx Sensor Circuit"
"P3442","Cylinder 6 Deactivation/lntake Valve Control Performance"
"U0412","Invalid Data Received From Battery Energy Control Module A"
"P4040","Battery Block 40 Overtemperature"
"P0795","Pressure Control Solenoid 'C'"
"C1513","Torque Sensor Circuit Malfunction"
"P0127","Intake Air Temperature Too High"
"P3453","Cylinder 7 Exhaust Valve Control Circuit/Open"
"P2740","Transmission Fluid Temperature Sensor 'B' Circuit"
"P0595","Cruise Control Servo Control Circuit Low"
"P0452","Evaporative Emission System Pressure Sensor/Switch Low"
"P0937","Hydraulic Oil Temperature Sensor Circuit"
"P0169","Incorrect Fuel Composition"
"P3425","Cylinder 4 Deactivation/lntake Valve Control Circuit/Open"
"P2540","Low Pressure Fuel System Sensor Circuit Range/Performance"
"P4004","Battery Block 4 Overtemperature"
"P2501","Generator Lamp/L-Terminal Circuit High"
"P0447","Evaporative Emission System Vent Control Circuit Open"
"P0801","Reverse Inhibit Control Circuit"
"P0374","Timing Reference High Resolution Signal 'A' No Pulse"
"P2263","Turbo/Super Charger Boost System Performance"
"P0434","Heated Catalyst Temperature Below Threshold"
"P0827","Up and Down Shift Switch Circuit Low"
"P0104","Mass or Volume Air Flow Circuit Intermittent"
"U0185","Lost Communication With Antenna Control Module"
"P0715","Input/Turbine Speed Sensor 'A' Circuit"
"P2408","Fuel Cap Sensor/Switch Circuit"
"P2246","O2 Sensor Reference Voltage Circuit High"
"P3471","Cylinder 9 Exhaust Valve Control Circuit Low"
"P2704","Transmission Friction Element 'E' Apply Time Range/Performance"
"P0869","Transmission Fluid Pressure High"
"P0515","Battery Temperature Sensor Circuit"
"P0481","Fan 2 Control Circuit"
"P2410","Fuel Cap Sensor/Switch Circuit Low"
"P0006","Fuel Shutoff Valve 'A' Control Circuit Low"
"U0132","Lost Communication With Ride Level Control Module"
"P3029","Battery Block 19 Becomes Weak"
"P2187","System Too Lean at Idle"
"U0311","Software Incompatibility with Drive Motor Control Module"
"P3232","Open or Short to B+ in Blocking of HV Gate Connection"
"U0429","Invalid Data Received From Steering Column Control Module"
"P0322","Ignition/Distributor Engine Speed Input Circuit No Signal"
"P0765","Shift Solenoid 'D'"
"P0A25","Generator Torque Sensor Circuit High"
"P2291","Injector Control Pressure Too Low - Engine Cranking"
"P2093","A' Camshaft Position Actuator Control Circuit High"
"P0549","Exhaust Gas Temperature Sensor Circuit High"
"P0237","Turbo/Super Charger Boost Sensor 'A' Circuit Low"
"P2141","Exhaust Gas Recirculation Throttle Control Circuit Low"
"P0576","Cruise Control Input Circuit Low"
"P3035","Battery Block 25 Becomes Weak"
"P0AF0","Drive Motor Inverter Temperature Sensor 'A' Circuit High"
"P0A1F","Battery Energy Control Module"
"P0923","Gear Shift Forward Actuator Circuit High"
"P2211","NOx Sensor Heater Sense Circuit High Input"
"U0105","Lost Communication With Fuel Injector Control Module"
"P2013","Intake Manifold Runner Control Circuit High"
"P0941","Hydraulic Oil Temperature Sensor Circuit Intermittent"
"P0354","Ignition Coil 'D' Primary/Secondary Circuit"
"P2443","Secondary Air Injection System Switching Valve Stuck Closed"
"C1511","Torque Sensor Circuit Malfunction"
"P2130","Throttle/Pedal Position Sensor/Switch 'F' Circuit"
"P2305","Ignition Coil 'B' Secondary Circuit"
"P0930","Gear Shift Lock Solenoid Control Circuit Low"
"P2520","A/C Request 'A' Circuit Low"
"P0401","Exhaust Gas Recirculation Flow Insufficient Detected"
"P0820","Gear Lever X-Y Position Sensor Circuit"
"P0427","Catalyst Temperature Sensor Low"
"P2615","Camshaft Position Signal Output Circuit Low"
"P0778","Pressure Control Solenoid 'B' Electrical"
"P2261","Turbo/Super Charger Bypass Valve - Mechanical"
"P2063","Reductant Supply Control Circuit Low"
"P2107","Throttle Actuator Control Module Processor"
"U0039","Vehicle Communication Bus B (Open)"
"P2275","O2 Sensor Signal Stuck Rich"
"P3454","Cylinder 7 Exhaust Valve Control Performance"
"P0469","EVAP Purge Flow Sensor Circuit Intermittent"
"U0328","Software Incompatibility with Steering Angle Sensor Module"
"P3496","Cylinder 12 Exhaust Valve Control Circuit High"
"P2665","Fuel Shutoff Valve 'B' Control Circuit/Open"
"P0756","Shift Solenoid 'B' Performance or Stuck Off"
"P4039","Battery Block 39 Overtemperature"
"P2649","A' Rocker Arm Actuator Control Circuit High"
"P0223","Throttle/Pedal Position Sensor/Switch 'B' Circuit High"
"P2739","Pressure Control Solenoid 'F' Control Circuit High"
"C1533","ECU Malfunction"
"P3416","Cylinder 2 Exhaust Valve Control Circuit High"
"P2228","Barometric Pressure Circuit Low"
"P2539","Low Pressure Fuel System Sensor Circuit"
"P2048","Reductant Injector Circuit Low"
"C1528","Motor Rotation Angle Sensor Malfunction"
"P0318","Rough Road Sensor 'A' Signal Circuit"
"P2A05","O2 Sensor Circuit Range/Performance"
"P0244","Turbo/Super Charger Wastegate Solenoid 'A' Range/Performance"
"P0037","HO2S Heater Control Circuit Low"
"U0157","Lost Communication With Information Center 'B'"
"P0921","Gear Shift Forward Actuator Circuit Range/Performance"
"P2011","Intake Manifold Runner Control Circuit/Open"
"P3466","Cylinder 9 Deactivation/lntake Valve Control Performance"
"U0170","Lost Communication With 'Restraints System Sensor A'"
"P0189","Fuel Temperature Sensor B Circuit Intermittent"
"P2124","Throttle/Pedal Position Sensor/Switch 'D' Circuit Intermittent"
"P0558","Brake Booster Pressure Sensor Circuit High Input"
"P0535","A/C Evaporator Temperature Sensor Circuit"
"P2283","Injector Control Pressure Sensor Circuit"
"P0368","Camshaft Position Sensor 'B' Circuit High"
"P0420","Catalyst System Efficiency Below Threshold"
"C1555","Motor Relay Welding Failure"
"P0AE2","Hybrid Battery Precharge Contractor Circuit Stuck Closed"
"P2444","Secondary Air Injection System Pump Stuck On"
"P2061","Reductant Injection Air Pump Control Circuit High"
"P0889","TCM Power Relay Sense Circuit Range/Performance"
"P0280","Cylinder 7 Injector Circuit High"
"U0331","Software Incompatibility with Body Control Module 'A'"
"P2075","Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit"
"P2407","Evaporative Emission System Leak Detection Pump Sense Circuit Intermittent/Erratic"
"P0785","Shift/Timing Solenoid"
"P0221","Throttle/Pedal Position Sensor/Switch 'B' Circuit Range/Performance"
"P0642","Sensor Reference Voltage 'A' Circuit Low"
"P0023","B' Camshaft Position - Actuator Circuit"
"P0041","O2 Sensor Signals Swapped Bank 1 Sensor 2/ Bank 2 Sensor 2"
"P0732","Gear 2 Incorrect Ratio"
"C1531","ECU Malfunction"
"P0653","Sensor Reference Voltage 'B' Circuit High"
"P2028","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Intermittent"
"P0109","Manifold Absolute Pressure/Barometric Pressure Circuit Intermittent"
"P2252","O2 Sensor Negative Current Control Circuit Low"
"P2203","NOx Sensor Circuit High Input"
"P0030","HO2S Heater Control Circuit"
"U0402","Invalid Data Received From Transmission Control Module"
"P2247","O2 Sensor Reference Voltage Circuit/Open"
"C1552","PIG Power Supply Voltage Malfunction"
"P0625","Generator Field/F Terminal Circuit Low"
"P2234","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"P0044","HO2S Heater Control Circuit High"
"P2658","A' Rocker Arm Actuator Control Circuit Low"
"P2635","Fuel Pump 'A' Low Flow / Performance"
"P2195","O2 Sensor Signal Stuck Lean"
"P0809","Clutch Position Sensor Circuit Intermittent"
"P0200","Injector Circuit/Open"
"P0671","Cylinder 1 Glow Plug Circuit"
"P0995","Transmission Fluid Pressure Sensor/Switch 'F' Circuit High"
"P3479","Cylinder 10 Exhaust Valve Control Circuit Low"
"P2281","Air Leak Between MAF and Throttle Body"
"P2083","Exhaust Gas Temperature Sensor Circuit Intermittent"
"P0705","Transmission Range Sensor Circuit Malfunction (PRNDL Input)"
"P0489","Exhaust Gas Recirculation Control Circuit Low"
"P2424","HC Adsorption Catalyst Efficiency Below Threshold"
"P0674","Cylinder 4 Glow Plug Circuit"
"P2115","Throttle/Pedal Position Sensor 'D' Minimum Stop Performance"
"P0080","Exhaust Valve Control Solenoid Circuit High"
"P0582","Cruise Control Vacuum Control Circuit/Open"
"U0319","Software Incompatibility with Steering Effort Control Module"
"P0777","Pressure Control Solenoid 'B' Stuck On"
"P2400","Evaporative Emission System Leak Detection Pump Control Circuit/Open"
"P0577","Cruise Control Input Circuit High"
"U0327","Software Incompatibility with Vehicle Security Control Module"
"P0359","Ignition Coil 'I' Primary/Secondary Circuit"
"P0338","Crankshaft Position Sensor 'A' Circuit High"
"P2165","Throttle/Pedal Position Sensor 'C' Maximum Stop Performance"
"P0386","Crankshaft Position Sensor 'B' Circuit Range/Performance"
"U0045","Vehicle Communication Bus B (shorted to Bus B)"
"P2632","Fuel Pump 'B' Control Circuit /Open"
"P0021","A' Camshaft Position - Timing Over-Advanced or System Performance"
"U0304","Software Incompatibility with Gear Shift Control Module"
"P0949","Auto Shift Manual Adaptive Learning Not Complete"
"P0651","Sensor Reference Voltage 'B' Circuit/Open"
"P0A0F","Engine Failed to Start"
"P2052","Reductant Injector Circuit High"
"P0976","Shift Solenoid 'B' Control Circuit Low"
"P2201","NOx Sensor Circuit Range/Performance"
"P2003","Particulate Trap Efficiency Below Threshold"
"P2227","Barometric Pressure Circuit Range/Performance"
"P3438","Cylinder 5 Exhaust Valve Control Performance"
"P2047","Reductant Injector Circuit/Open"
"P3486","Cylinder 11 Exhaust Valve Control Performance"
"P3108","A/C Amplifier Communication Circuit Malfunction"
"P2034","Exhaust Gas Temperature Sensor Circuit"
"P0409","Exhaust Gas Recirculation Sensor 'A' Circuit"
"P0317","Rough Road Hardware Not Present"
"P3497","Cylinder Deactivation System"
"P2269","Water in Fuel Condition"
"P0502","Vehicle Speed Sensor 'A' Circuit Low Input"
"P0173","Fuel Trim"
"P3110","IGCT Relay Malfunction"
"P0696","Fan 3 Control Circuit High"
"P2545","Torque Management Request Input Signal 'A' Range/Performance"
"P0845","Transmission Fluid Pressure Sensor/Switch 'B' Circuit"
"P2081","Exhaust Gas Temperature Sensor Circuit Intermittent"
"P2178","System Too Rich Off Idle"
"P0367","Camshaft Position Sensor 'B' Circuit Low"
"P0873","Transmission Fluid Pressure Sensor/Switch 'C' Circuit High"
"P0306","Cylinder 6 Misfire Detected"
"U0222","Lost Communication With 'Door Window Motor A'"
"P0770","Shift Solenoid 'E'"
"U0042","Vehicle Communication Bus B (Open)"
"P0A38","Generator Temperature Sensor Circuit Low"
"P0962","Pressure Control Solenoid 'A' Control Circuit Low"
"P0249","Turbo/Super Charger Wastegate Solenoid 'B' Low"
"P2415","O2 Sensor Exhaust Sample Error"
"P0616","Starter Relay Circuit Low"
"P0292","Cylinder 11 Injector Circuit High"
"U0053","Vehicle Communication Bus C (High)"
"P0276","Cylinder 6 Injector Circuit Low"
"P2156","Fuel Injector Group 'D' Supply Voltage Circuit Low"
"P0390","Camshaft Position Sensor 'B' Circuit"
"P3406","Cylinder 1 Exhaust Valve Control Performance"
"P4042","Battery Block 42 Overtemperature"
"P0142","O2 Sensor Circuit"
"P0666","PCM/ECM/TCM Internal Temperature Sensor Circuit"
"P0A17","Motor Torque Sensor Circuit"
"P2742","Transmission Fluid Temperature Sensor 'B' Circuit Low"
"P0212","Injector Circuit/Open - Cylinder 12"
"P0095","Intake Air Temperature Sensor 2 Circuit"
"P2220","NOx Sensor Heater Control Circuit High"
"P0153","O2 Sensor Circuit Slow Response"
"P2602","Coolant Pump Control Circuit Low"
"P3137","Collision Sensor Low Input"
"P2001","NOx Trap Efficiency Below Threshold"
"P2753","Transmission Fluid Cooler Control Circuit/Open"
"P0310","Cylinder 10 Misfire Detected"
"U0163","Lost Communication With Navigation Control Module"
"P0125","Insufficient Coolant Temperature for Closed Loop Fuel Control"
"U0074","Reserved by J2012"
"P0262","Cylinder 1 Injector Circuit High"
"P0958","Auto Shift Manual Mode Circuit High"
"P0935","Hydraulic Pressure Sensor Circuit High"
"P0A06","Motor Electronics Coolant Pump Control Circuit Low"
"P0171","System Too Lean"
"P0445","Evaporative Emission System Purge Control Valve Circuit Shorted"
"P0825","Gear Lever Push-Pull Switch (Shift Anticipate)"
"P2412","Fuel Cap Sensor/Switch Circuit Intermittent/Erratic"
"P0550","Power Steering Pressure Sensor/Switch Circuit"
"P0360","Ignition Coil 'J' Primary/Secondary Circuit"
"P0473","Exhaust Pressure Sensor High"
"P0871","Transmission Fluid Pressure Sensor/Switch 'C' Circuit Range/Performance"
"U0022","Low Speed CAN Communication Bus (Low)"
"P2774","Four Wheel Drive (4WD) Low Switch Circuit High"
"P0229","Throttle/Pedal Position Sensor/Switch 'C' Circuit Intermittent"
"P0A90","Drive Motor 'A' Performance"
"P0343","Camshaft Position Sensor 'A' Circuit High"
"P0049","Turbo/Super Charger Turbine Overspeed"
"U0148","Lost Communication With Gateway 'C'"
"P2574","Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Low"
"U0051","Vehicle Communication Bus C (Open)"
"P0076","Intake Valve Control Solenoid Circuit Low"
"U0218","Lost Communication With 'Door Switch D'"
"U0194","Lost Communication With 'Digital Audio Control Module B'"
"P4022","Battery Block 22 Overtemperature"
"P2132","Throttle/Pedal Position Sensor/Switch 'F' Circuit Low Input"
"P0258","Injection Pump Fuel Metering Control 'B' Low (Cam/Rotor/Injector)"
"P2722","Pressure Control Solenoid 'E'"
"P0235","Turbo/Super Charger Boost Sensor 'A' Circuit"
"P2429","Exhaust Gas Temperature Too High"
"P0679","Cylinder 9 Glow Plug Circuit"
"P0012","A' Camshaft Position - Timing Over-Retarded"
"P2020","Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance"
"P2522","A/C Request 'B' Circuit"
"U0114","Lost Communication With Four-Wheel Drive Clutch Control Module"
"P2289","Injector Control Pressure Too High - Engine Off"
"P2751","Intermediate Shaft Speed Sensor 'C' Circuit No Signal"
"P2650","B' Rocker Arm Actuator Control Circuit/Open"
"P2314","Ignition Coil 'E' Secondary Circuit"
"P3437","Cylinder 5 Exhaust Valve Control Circuit/Open"
"U0126","Lost Communication With Steering Angle Sensor Module"
"P2551","Torque Management Request Input Signal 'B' High"
"P3107","Airbag ECU Communication Circuit Malfunction"
"P3226","DC/DC Boost Converter Temperature Sensor"
"P0062","HO2S Heater Control Circuit"
"P0425","Catalyst Temperature Sensor"
"P2326","Ignition Coil 'I' Secondary Circuit"
"P0387","Crankshaft Position Sensor 'B' Circuit Low"
"P0636","Power Steering Control Circuit Low"
"U0164","Lost Communication With HVAC Control Module"
"P0196","Engine Oil Temperature Sensor Range/Performance"
"U0309","Software Incompatibility with Alternative Fuel Control Module"
"P0471","Exhaust Pressure Sensor Range/Performance"
"P2554","Throttle/Fuel Inhibit Circuit Low"
"P0854","Drive Switch Input Circuit Low"
"P0982","Shift Solenoid 'D' Control Circuit Low"
"U0098","Reserved by J2012"
"P2177","System Too Lean Off Idle"
"P0977","Shift Solenoid 'B' Control Circuit High"
"P0341","Camshaft Position Sensor 'A' Circuit Range/Performance"
"P2333","Ignition Coil 'L' Primary Control Circuit Low"
"P0116","Engine Coolant Temperature Circuit Range/Performance"
"P0793","Intermediate Shaft Speed Sensor 'A' Circuit No Signal"
"P3048","Battery Block 38 Becomes Weak"
"U0018","Medium Speed CAN Communication Bus (shorted to Bus)"
"P2209","NOx Sensor Heater Sense Circuit Range/Performance"
"P0330","Knock Sensor 2 Circuit"
"P0593","Cruise Control Multi-Function Input 'B' Circuit High"
"P0A9D","Hybrid Battery Temperature Sensor 'A' Circuit Low"
"U0172","Lost Communication With 'Restraints System Sensor C'"
"P3423","Cylinder 3 Exhaust Valve Control Circuit Low"
"P0058","HO2S Heater Control Circuit High"
"P0166","O2 Sensor Circuit No Activity Detected"
"P0035","Turbo Charger Bypass Valve Control Circuit High"
"P3441","Cylinder 6 Deactivation/lntake Valve Control Circuit/Open"
"P0898","Transmission Control System MIL Request Circuit Low"
"U0183","Lost Communication With Lighting Control Module Rear"
"P0307","Cylinder 7 Misfire Detected"
"P2432","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Low"
"P0713","Transmission Fluid Temperature Sensor 'A' Circuit High"
"U0068","Vehicle Communication Bus E (High)"
"P4018","Battery Block 18 Overtemperature"
"P2089","A' Camshaft Position Actuator Control Circuit High"
"P0282","Cylinder 8 Injector Circuit Low"
"P0866","TCM Communication Circuit High"
"P3430","Cylinder 4 Exhaust Valve Control Performance"
"P0513","Incorrect Immobilizer Key"
"P0902","Clutch Actuator Circuit Low"
"P3014","Battery Block 4 Becomes Weak"
"P0A1D","Hybrid Powertrain Control Module"
"P2718","Pressure Control Solenoid 'D' Control Circuit / Open"
"P3444","Cylinder 6 Deactivation/lntake Valve Control Circuit High"
"U0414","Invalid Data Received From Four-Wheel Drive Clutch Control Module"
"P0688","ECM/PCM Power Relay Sense Circuit /Open"
"P3026","Battery Block 16 Becomes Weak"
"P2518","A/C Refrigerant Pressure Sensor 'B' Circuit High"
"P0763","Shift Solenoid 'C' Electrical"
"U0426","Invalid Data Received From Vehicle Immobilizer Control Module"
"P0A23","Generator Torque Sensor Circuit Range/Performance"
"P0454","Evaporative Emission System Pressure Sensor/Switch Intermittent"
"P0A41","Drive Motor 'A' Position Sensor Circuit Low"
"P0563","System Voltage High"
"P2170","Exhaust Pressure Regulator Vent Solenoid Control Circuit Low"
"P2768","Input/Turbine Speed Sensor 'B' Circuit Intermittent"
"P2405","Evaporative Emission System Leak Detection Pump Sense Circuit Low"
"P0546","Exhaust Gas Temperature Sensor Circuit High"
"P2568","Direct Ozone Reduction Catalyst Temperature Sensor Circuit Range/Performance"
"P3480","Cylinder 10 Exhaust Valve Control Circuit High"
"P3033","Battery Block 23 Becomes Weak"
"P2331","Ignition Coil 'K' Primary Control Circuit High"
"U0079","Reserved by J2012"
"U0103","Lost Communication With Gear Shift Module"
"U0147","Lost Communication With Gateway 'B'"
"U0134","Reserved by J2012"
"P0A07","Motor Electronics Coolant Pump Control Circuit High"
"P0416","Secondary Air Injection System Switching Valve 'B' Circuit Open"
"P2303","Ignition Coil 'B' Primary Control Circuit Low"
"P2009","Intake Manifold Runner Control Circuit Low"
"P0202","Injector Circuit/Open - Cylinder 2"
